name,latitude,longitude,total_clicks
Bierstadttrails Kulmbach,50.1111,11.4606,641
DIMB Würmtal Trails,48.0385,11.3705,641
DIMB Himmelsleiter Trails,50.9535,6.74426,529
Bärenleite - Trails,49.9128,11.5604,514
Back to the roots,47.7389,11.8896,465
Urtrails Altmühltal,48.9185,11.8722,453
Ahr Trail Park,50.5271,7.12699,447
Schmausenbuck,49.4499,11.1553,440
Center of Gravity,47.7127,11.9019,440
Coal Chamber,47.7558,11.8541,437
Klingentrail,51.1913,7.10447,430
Trailworks Fürth,49.4723,10.9312,412
Flowtrail Kelkheim,50.123,8.44466,407
RV Adler Downhillstrecke Kothen,51.2511,7.1869,405
BaySF - Trail Kreuth,47.6271,11.7531,403
X-Trail Schwarzenbruck,49.3607,11.248,400
Obermain Trails,50.1461,11.0636,390
Wald.Weit Flowtrails,50.0499,8.07234,388
Woodpecker - Trail,48.7499,9.16821,386
Flowtrail Feldberg,50.2256,8.45316,366
